millis,rssi,label
14295,-72,moving
17686,-72,moving
20877,-70,moving
24268,-71,moving
27458,-78,moving
30849,-69,moving
34040,-66,moving
37431,-68,moving
40822,-69,moving
44213,-67,moving
47604,-69,moving
50995,-70,moving
54386,-74,moving
57777,-78,moving
61168,-61,moving
64559,-61,moving
67950,-69,moving
71141,-66,moving
74532,-61,moving
77923,-62,moving
81313,-74,moving
84704,-67,moving
88095,-64,moving
91286,-65,moving
94677,-66,moving
98068,-73,moving
101459,-66,moving
104850,-68,moving
108241,-62,moving
111232,-62,moving
114623,-63,moving
118014,-64,moving
121405,-76,moving
124796,-69,moving
128187,-63,moving
131578,-65,moving
134969,-64,moving
138360,-67,moving
141551,-75,moving
144742,-71,moving
148133,-66,moving
151323,-68,moving
154714,-73,moving
158105,-73,moving
161496,-70,moving
164887,-61,moving
168278,-62,moving
171669,-66,moving
175060,-66,moving
178451,-63,moving
181842,-77,moving
185233,-63,moving
188624,-62,moving
192015,-67,moving
195406,-64,moving
198797,-67,moving
201988,-70,moving
205379,-72,moving
208569,-72,moving
211560,-73,moving
214751,-68,moving
217942,-76,moving
221132,-70,moving
224523,-75,moving
227914,-68,moving
231105,-70,moving
234496,-64,moving
237887,-65,moving
241278,-59,moving
244669,-70,moving
248060,-63,moving
251450,-71,moving
254641,-72,moving
258032,-66,moving
261423,-68,moving
264814,-65,moving
268205,-65,moving
271596,-66,moving
274987,-64,moving
278378,-66,moving
281769,-61,moving
284960,-65,moving
288351,-72,moving
291341,-69,moving
294131,-69,moving
297322,-67,moving
300112,-66,moving
303303,-63,moving
306293,-61,moving
309284,-64,moving
312274,-64,moving
315465,-64,moving
318455,-61,moving
321446,-62,moving
324436,-63,moving
327226,-64,moving
330617,-68,moving
333808,-63,moving
336998,-62,moving
339989,-65,moving
343179,-69,moving
346570,-69,moving
349760,-62,moving
352751,-64,moving
355742,-59,moving
358732,-64,moving
362123,-67,moving
365113,-71,moving
368104,-68,moving
371295,-69,moving
374485,-73,moving
377476,-67,moving
380466,-71,moving
383657,-77,moving
386848,-64,moving
390038,-65,moving
393229,-68,moving
396220,-68,moving
399610,-68,moving
402601,-66,moving
405591,-65,moving
408782,-67,moving
412172,-67,moving
415163,-65,moving
418154,-64,moving
421144,-75,moving
423934,-67,moving
427325,-74,moving
430716,-67,moving
433906,-73,moving
437097,-66,moving
440288,-69,moving
443479,-67,moving
446469,-72,moving
449660,-73,moving
452650,-69,moving
455441,-69,moving
458431,-75,moving
461422,-70,moving
464612,-65,moving
467603,-64,moving
470593,-62,moving
473383,-63,moving
476173,-71,moving
478964,-61,moving
482154,-62,moving
485145,-70,moving
488135,-65,moving
491526,-66,moving
494517,-65,moving
497907,-64,moving
501298,-65,moving
504289,-65,moving
507279,-66,moving
510470,-62,moving
513460,-67,moving
516450,-61,moving
519641,-64,moving
522431,-62,moving
525422,-75,moving
528613,-65,moving
531803,-60,moving
534994,-63,moving
537984,-66,moving
540975,-65,moving
543765,-66,moving
546555,-63,moving
549746,-63,moving
552937,-67,moving
556127,-70,moving
559318,-70,moving
562309,-67,moving
565500,-66,moving
568891,-66,moving
572282,-64,moving
575673,-61,moving
579064,-61,moving
582455,-62,moving
585846,-59,moving
588836,-61,moving
591627,-71,moving
594217,-100,moving
597007,-68,moving
599797,-66,moving
602588,-79,moving
605378,-65,moving
608569,-67,moving
611559,-74,moving
614750,-73,moving
617741,-68,moving
621132,-71,moving
624123,-70,moving
626913,-71,moving
629903,-65,moving
633294,-63,moving
636485,-71,moving
639676,-64,moving
643067,-68,moving
646458,-73,moving
649649,-67,moving
652840,-64,moving
656031,-68,moving
659221,-63,moving
662412,-65,moving
665603,-64,moving
668993,-68,moving
672184,-75,moving
675175,-68,moving
678566,-68,moving
681756,-65,moving
684947,-61,moving
687937,-63,moving
690928,-69,moving
693919,-61,moving
697109,-58,moving
700300,-60,moving
703490,-60,moving
706481,-65,moving
709672,-64,moving
712862,-66,moving
715853,-62,moving
719044,-65,moving
722235,-64,moving
725425,-63,moving
728616,-63,moving
731806,-61,moving
734997,-70,moving
737988,-63,moving
740778,-62,moving
743768,-74,moving
746759,-67,moving
749949,-67,moving
752940,-69,moving
756131,-66,moving
759321,-63,moving
762512,-66,moving
765503,-66,moving
768693,-69,moving
771684,-65,moving
774874,-63,moving
777865,-62,moving
780855,-64,moving
783846,-70,moving
787236,-64,moving
790227,-66,moving
793218,-76,moving
796208,-64,moving
799198,-66,moving
801989,-100,moving
804779,-78,moving
807769,-67,moving
810560,-100,moving
813750,-65,moving
816741,-71,moving
819932,-66,moving
822922,-71,moving
826113,-68,moving
828903,-68,moving
832094,-62,moving
835084,-64,moving
838075,-71,moving
841265,-67,moving
844456,-68,moving
847246,-73,moving
850236,-65,moving
853427,-65,moving
856418,-68,moving
859408,-66,moving
862399,-68,moving
865389,-64,moving
868579,-66,moving
871570,-100,moving
874761,-75,moving
877751,-77,moving
880942,-64,moving
883932,-70,moving
886723,-100,moving
889713,-69,moving
892704,-70,moving
895694,-63,moving
898885,-76,moving
901875,-64,moving
905066,-63,moving
908056,-64,moving
911046,-60,moving
914037,-69,moving
917228,-61,moving
920218,-60,moving
923209,-68,moving
926399,-62,moving
929390,-81,moving
932380,-67,moving
935371,-64,moving
938161,-68,moving
941151,-62,moving
944342,-64,moving
947733,-67,moving
950723,-73,moving
953514,-100,moving
956704,-64,moving
959895,-78,moving
962885,-74,moving
965676,-100,moving
968466,-100,moving
971857,-75,moving
975048,-77,moving
978038,-82,moving
981029,-71,moving
984020,-100,moving
987410,-66,moving
990401,-64,moving
993792,-64,moving
996982,-78,moving
999973,-67,moving
1002964,-64,moving
1005954,-67,moving
1008945,-64,moving
1011735,-67,moving
1014726,-66,moving
1017916,-64,moving
1021107,-72,moving
1024498,-67,moving
1027689,-74,moving
1031080,-67,moving
1034471,-75,moving
1037862,-64,moving
1041052,-68,moving
1044443,-78,moving
1047434,-74,moving
1050625,-60,moving
1054016,-65,moving
1057407,-62,moving
1060798,-69,moving
1063988,-63,moving
1067179,-75,moving
1070570,-63,moving
1073561,-65,moving
1076952,-65,moving
1080143,-67,moving
1083333,-66,moving
1086724,-64,moving
1090115,-60,moving
1093506,-62,moving
1096897,-68,moving
1100088,-63,moving
1103079,-73,moving
1106470,-82,moving
1109861,-69,moving
1113252,-68,moving
1116643,-72,moving
1120034,-59,moving
1123224,-66,moving
1126615,-69,moving
1130006,-73,moving
1133197,-64,moving
1136388,-64,moving
1139779,-68,moving
1143170,-70,moving
1146561,-65,moving
1149952,-64,moving
1153343,-62,moving
1156734,-62,moving
1160125,-63,moving
1163516,-74,moving
1166907,-70,moving
1170097,-64,moving
1173088,-69,moving
1176479,-76,moving
1179870,-67,moving
1183261,-62,moving
1186652,-64,moving
1190043,-61,moving
1193434,-62,moving
1196825,-62,moving
1200016,-65,moving
1203407,-64,moving
1206597,-61,moving
1209988,-66,moving
1213379,-64,moving
1216770,-65,moving
1220161,-75,moving
1223352,-66,moving
1226743,-66,moving
1230134,-67,moving
1233525,-68,moving
1236916,-66,moving
1240307,-61,moving
1243498,-62,moving
1246889,-62,moving
1250280,-67,moving
1253671,-60,moving
1257062,-63,moving
1260453,-66,moving
1263844,-60,moving
1267235,-66,moving
1270426,-63,moving
1273817,-65,moving
1277208,-61,moving
1280399,-60,moving
1283589,-63,moving
1286980,-71,moving
1290171,-61,moving
1293562,-74,moving
1296953,-67,moving
1300344,-63,moving
1303735,-64,moving
1306926,-66,moving
1310317,-71,moving
1313708,-60,moving
1317099,-62,moving
1320490,-65,moving
1323881,-59,moving
1327272,-63,moving
1330663,-65,moving
1333853,-67,moving
1337244,-65,moving
1340635,-66,moving
1344026,-62,moving
1347217,-62,moving
1350408,-66,moving
1353799,-70,moving
1356990,-61,moving
1360381,-62,moving
1363772,-62,moving
1366963,-62,moving
1370354,-63,moving
1373544,-65,moving
1376935,-63,moving
1380326,-65,moving
1383717,-65,moving
1387108,-63,moving
1390299,-61,moving
1393490,-64,moving
1396680,-75,moving
1399471,-72,moving
1402861,-64,moving
1406052,-63,moving
1409443,-74,moving
1412834,-65,moving
1416225,-70,moving
1419616,-64,moving
1423007,-64,moving
1426398,-64,moving
1429789,-65,moving
1433180,-62,moving
1436371,-63,moving
1439762,-61,moving
1442953,-60,moving
1446344,-60,moving
1449735,-58,moving
1453126,-63,moving
1456517,-65,moving
1459708,-61,moving
1463099,-65,moving
1466490,-65,moving
1469881,-64,moving
1473272,-67,moving
1476663,-62,moving
1480054,-65,moving
1483445,-65,moving
1486836,-65,moving
1490227,-61,moving
1493418,-60,moving
1496809,-69,moving
1500200,-67,moving
1503591,-67,moving
1506983,-62,moving
1510374,-68,moving
1513765,-62,moving
1517156,-64,moving
1520547,-64,moving
1523938,-73,moving
1527329,-62,moving
1530720,-64,moving
1534111,-65,moving
1537502,-66,moving
1540893,-67,moving
1544284,-64,moving
1547675,-65,moving
1551066,-66,moving
1554457,-64,moving
1557848,-65,moving
1561239,-63,moving
1564630,-64,moving
1567821,-60,moving
1571212,-69,moving
1574603,-70,moving
1577994,-65,moving
1581386,-66,moving
1584777,-64,moving
1587967,-64,moving
1591358,-64,moving
1594749,-66,moving
1598140,-67,moving
1601531,-69,moving
1604922,-66,moving
1608313,-62,moving
1611704,-68,moving
1614895,-62,moving
1618286,-67,moving
1621477,-69,moving
1624868,-65,moving
1628259,-62,moving
1631650,-64,moving
1635041,-62,moving
1638432,-61,moving
1641623,-62,moving
1645014,-65,moving
1648405,-60,moving
1651795,-64,moving
1655186,-60,moving
1658577,-66,moving
1661968,-67,moving
1665359,-62,moving
1668750,-61,moving
1672141,-64,moving
1675532,-65,moving
1678923,-60,moving
1682314,-61,moving
1685705,-68,moving
1688895,-66,moving
1692286,-63,moving
1695677,-68,moving
1699068,-71,moving
1702459,-65,moving
1705850,-75,moving
1709041,-69,moving
1712432,-69,moving
1715823,-67,moving
1719214,-62,moving
1722605,-63,moving
1725996,-62,moving
1729387,-63,moving
1732778,-65,moving
1736169,-62,moving
1739560,-75,moving
1742951,-63,moving
1746342,-63,moving
1749733,-64,moving
1753124,-59,moving
1756515,-65,moving
1759906,-71,moving
2963448,-65,empty
2966638,-62,empty
2969629,-63,empty
2972820,-66,empty
2975810,-62,empty
2979001,-63,empty
2982192,-67,empty
2985383,-63,empty
2988573,-64,empty
2991764,-62,empty
2994955,-65,empty
2998146,-63,empty
3001336,-61,empty
3004527,-65,empty
3007718,-62,empty
3010908,-60,empty
3014099,-62,empty
3017290,-62,empty
3020481,-64,empty
3023671,-62,empty
3026862,-66,empty
3029853,-63,empty
3033044,-65,empty
3036234,-64,empty
3039425,-63,empty
3042616,-62,empty
3045806,-62,empty
3048997,-61,empty
3052188,-61,empty
3055379,-62,empty
3058569,-62,empty
3061760,-60,empty
3064951,-63,empty
3068142,-61,empty
3071333,-65,empty
3074523,-64,empty
3077714,-63,empty
3080905,-62,empty
3084096,-64,empty
3087286,-66,empty
3090477,-63,empty
3093668,-63,empty
3096859,-61,empty
3100050,-63,empty
3103241,-61,empty
3106431,-63,empty
3109622,-62,empty
3112813,-64,empty
3116003,-65,empty
3119194,-63,empty
3122385,-62,empty
3125576,-65,empty
3128766,-66,empty
3131957,-63,empty
3135148,-62,empty
3138339,-63,empty
3141529,-63,empty
3144720,-65,empty
3147911,-67,empty
3151102,-64,empty
3154292,-67,empty
3157483,-64,empty
3160674,-63,empty
3163865,-61,empty
3167055,-67,empty
3170246,-61,empty
3173437,-64,empty
3176628,-64,empty
3179819,-64,empty
3183010,-65,empty
3186200,-67,empty
3189391,-66,empty
3192582,-65,empty
3195773,-64,empty
3198964,-67,empty
3202155,-66,empty
3205345,-65,empty
3208536,-62,empty
3211727,-63,empty
3214918,-64,empty
3218108,-67,empty
3221299,-65,empty
3224490,-64,empty
3227681,-63,empty
3230872,-64,empty
3234062,-66,empty
3237253,-64,empty
3240444,-64,empty
3243635,-65,empty
3246825,-65,empty
3250016,-63,empty
3253207,-65,empty
3256398,-63,empty
3259589,-65,empty
3262779,-64,empty
3265970,-65,empty
3269161,-63,empty
3272351,-64,empty
3275542,-63,empty
3278733,-64,empty
3281923,-63,empty
3285114,-64,empty
3288305,-64,empty
3291495,-64,empty
3294686,-62,empty
3297877,-63,empty
3301068,-65,empty
3304258,-66,empty
3307449,-64,empty
3310640,-66,empty
3313631,-63,empty
3316821,-64,empty
3320012,-64,empty
3323203,-61,empty
3326393,-62,empty
3329584,-61,empty
3332775,-62,empty
3335965,-64,empty
3339156,-61,empty
3342347,-62,empty
3345538,-64,empty
3348728,-68,empty
3351719,-62,empty
3354909,-64,empty
3358100,-64,empty
3361290,-64,empty
3364481,-63,empty
3367672,-62,empty
3370662,-62,empty
3373853,-63,empty
3377044,-62,empty
3380234,-64,empty
