timestamp_ms,rssi,label
11:00:30.912 -> 700645,-67,moving
11:00:34.409 -> 704145,-71,moving
11:00:37.916 -> 707645,-68,moving
11:00:41.420 -> 711145,-65,moving
11:00:44.907 -> 714645,-66,moving
11:00:48.407 -> 718145,-66,moving
11:00:51.896 -> 721645,-68,moving
11:00:55.434 -> 725145,-69,moving
11:00:58.930 -> 728645,-68,moving
11:01:02.409 -> 732145,-70,moving
11:01:05.897 -> 735645,-67,moving
11:01:09.442 -> 739145,-67,moving
11:01:12.936 -> 742645,-69,moving
11:01:15.942 -> 745645,-69,moving
11:01:19.442 -> 749145,-72,moving
11:01:22.939 -> 752645,-66,moving
11:01:26.426 -> 756145,-70,moving
11:01:29.922 -> 759645,-73,moving
11:01:33.405 -> 763145,-71,moving
11:01:36.941 -> 766645,-70,moving
11:01:40.425 -> 770145,-68,moving
11:01:43.923 -> 773645,-70,moving
11:01:47.420 -> 777145,-70,moving
11:01:50.919 -> 780645,-70,moving
11:01:54.409 -> 784145,-69,moving
11:01:57.908 -> 787645,-72,moving
11:02:01.442 -> 791145,-68,moving
11:02:04.932 -> 794645,-70,moving
11:02:08.428 -> 798145,-69,moving
11:02:11.925 -> 801645,-68,moving
11:02:15.419 -> 805145,-67,moving
11:02:18.432 -> 808145,-70,moving
11:02:21.400 -> 811145,-68,moving
11:02:24.896 -> 814645,-64,moving
11:02:28.396 -> 818145,-68,moving
11:02:31.927 -> 821645,-68,moving
11:02:35.426 -> 825145,-67,moving
11:02:38.923 -> 828645,-70,moving
11:02:42.425 -> 832145,-67,moving
11:02:45.928 -> 835645,-66,moving
11:02:49.394 -> 839145,-65,moving
11:02:52.930 -> 842645,-67,moving
11:02:55.941 -> 845645,-63,moving
11:02:59.402 -> 849145,-71,moving
11:03:02.897 -> 852645,-70,moving
11:03:06.412 -> 856145,-67,moving
11:03:09.902 -> 859645,-71,moving
11:03:13.395 -> 863145,-70,moving
11:03:16.912 -> 866645,-65,moving
11:03:20.398 -> 870145,-66,moving
11:03:23.411 -> 873145,-73,moving
11:03:26.416 -> 876145,-67,moving
11:03:29.915 -> 879645,-69,moving
11:03:33.416 -> 883145,-70,moving
11:03:36.407 -> 886145,-67,moving
11:03:39.941 -> 889645,-68,moving
11:03:42.897 -> 892645,-64,moving
11:03:46.416 -> 896145,-68,moving
11:03:49.904 -> 899645,-63,moving
11:03:53.400 -> 903145,-62,moving
11:03:56.940 -> 906645,-65,moving
11:04:00.426 -> 910145,-66,moving
11:04:03.924 -> 913645,-69,moving
11:04:07.415 -> 917145,-70,moving
11:04:10.431 -> 920145,-68,moving
11:04:13.931 -> 923645,-67,moving
11:04:17.425 -> 927145,-68,moving
11:04:20.926 -> 930645,-69,moving
11:04:24.401 -> 934145,-67,moving
11:04:27.940 -> 937645,-71,moving
11:04:30.910 -> 940645,-68,moving
11:04:33.918 -> 943645,-69,moving
11:04:37.402 -> 947145,-67,moving
